operator_code,flight_count,periods_active,route_count,delayed_over_15_count,median_arrival_delay_min,median_scheduled_duration_min,delay_over_15_pct,scope_id,scope_label,operator_name,operator_country,executive_eligible
AAL,11397,4,111,2654,4.0833,494.8167,23.2868,all_flights,All scheduled flights,AMERICAN AIRLINES INC.,UNITED STATES,True
AAR,963,4,25,582,20.5333,667.4167,60.4361,all_flights,All scheduled flights,ASIANA AIRLINES,REPUBLIC OF KOREA,True
AAW,413,4,10,188,13.2333,174.05,45.5206,all_flights,All scheduled flights,AFRICAN AIRLINES CORPORATION,LIBYA,False
ABB,666,4,44,194,4.5167,522.3417,29.1291,all_flights,All scheduled flights,AIR BELGIUM SA,BELGIUM,True
ABD,756,4,136,259,9.375,474.675,34.2593,all_flights,All scheduled flights,AIR ATLANTA ICELANDIC,ICELAND,True
ABG,54,1,25,35,21.2917,399.6833,64.8148,all_flights,All scheduled flights,"ROYAL FLIGHT AIRLINES, CJSC",RUSSIAN FEDERATION,False
ABV,139,4,2,2,-6.2,69.3833,1.4388,all_flights,All scheduled flights,ASL AIRLINES UK,UNITED KINGDOM,False
ABY,2105,4,27,632,7.3,243.5167,30.0238,all_flights,All scheduled flights,AIR ARABIA,UNITED ARAB EMIRATES,True
ACA,7938,4,119,5324,27.5167,451.5833,67.0698,all_flights,All scheduled flights,AIR CANADA,CANADA,True
ACP,206,4,37,79,10.1333,401.2,38.3495,all_flights,All scheduled flights,ASTRAL AVIATION LIMITED,KENYA,False
ACY,255,3,14,65,5.15,203.3167,25.4902,all_flights,All scheduled flights,ARMENIAN NATIONAL AIRLINES CJSC,ARMENIA,False
ADY,323,3,14,57,-0.4333,244.95,17.6471,all_flights,All scheduled flights,AIR ARABIA ABU DHABI,UNITED ARAB EMIRATES,False
AEA,21250,4,146,3010,2.7,74.7833,14.1647,all_flights,All scheduled flights,AIR EUROPA,SPAIN,True
AEE,25407,4,322,2899,0.7833,94.35,11.4102,all_flights,All scheduled flights,AEGEAN AIRLINES,GREECE,True
AFG,131,4,18,46,5.5667,270.5667,35.1145,all_flights,All scheduled flights,ARIANA AFGHAN AIRLINES,AFGHANISTAN,False
AFL,4803,4,77,733,-2.85,235.3333,15.2613,all_flights,All scheduled flights,AEROFLOT - RUSSIAN AIRLINES,RUSSIAN FEDERATION,True
AFR,92257,4,610,25863,6.9833,88.9833,28.0336,all_flights,All scheduled flights,AIR FRANCE,FRANCE,True
AHY,6233,4,104,748,2.1667,137.4,12.0006,all_flights,All scheduled flights,"AZERBAIJAN HAVA YOLLARI, NATIONAL AIRLINE",AZERBAIJAN,True
AIA,487,2,18,85,4.95,56.7,17.4538,all_flights,All scheduled flights,AMELIA,FRANCE,False
AIC,3062,4,53,1296,11.8667,561.925,42.3253,all_flights,All scheduled flights,AIR INDIA LIMITED,INDIA,True
AIZ,1300,4,75,276,3.6333,96.6167,21.2308,all_flights,All scheduled flights,ARKIA ISRAEL INLAND AIRLINES,ISRAEL,True
ALK,472,4,16,213,12.6667,644.2083,45.1271,all_flights,All scheduled flights,SRILANKAN AIRLINES,SRI LANKA,False
AMC,3425,4,44,713,4.4833,144.7833,20.8175,all_flights,All scheduled flights,AIR MALTA PLC.,MALTA,True
AMW,297,4,21,78,6.0833,169.8667,26.2626,all_flights,All scheduled flights,ARMENIA AIRWAYS AIR COMPANY,ARMENIA,False
AMX,1441,4,12,765,16.6333,630.8,53.0881,all_flights,All scheduled flights,"AEROVIAS DE MEXICO, S.A. DE C.V.",MEXICO,True
ANA,748,4,16,272,8.9917,816.6417,36.3636,all_flights,All scheduled flights,"ALL NIPPON AIRWAYS CO., LTD.",JAPAN,True
ANE,22061,4,277,2119,0.7667,60.5833,9.6052,all_flights,All scheduled flights,"AIR NOSTRUM LINEAS AEREAS DEL MEDITERRANEO, S.A.",SPAIN,True
APF,2135,4,66,56,-5.9167,61.1333,2.623,all_flights,All scheduled flights,AMAPOLA FLYG AB,SWEDEN,True
