operator_code,period,flight_count,delayed_over_15_count,median_arrival_delay_min,median_scheduled_duration_min,operator_name,operator_country,delay_over_15_pct,scope_id
AAL,2022-03,1943,407,3.8,496.2167,AMERICAN AIRLINES INC.,UNITED STATES,20.947,all_flights
AAL,2022-06,3516,931,5.8167,492.7417,AMERICAN AIRLINES INC.,UNITED STATES,26.479,all_flights
AAL,2022-09,3469,719,2.5833,494.1333,AMERICAN AIRLINES INC.,UNITED STATES,20.7264,all_flights
AAL,2022-12,2469,597,3.9167,498.2667,AMERICAN AIRLINES INC.,UNITED STATES,24.1798,all_flights
AAR,2022-03,93,35,7.6,577.1333,ASIANA AIRLINES,REPUBLIC OF KOREA,37.6344,all_flights
AAR,2022-06,217,146,23.8667,667.55,ASIANA AIRLINES,REPUBLIC OF KOREA,67.2811,all_flights
AAR,2022-09,325,202,22.5167,671.8833,ASIANA AIRLINES,REPUBLIC OF KOREA,62.1538,all_flights
AAR,2022-12,328,199,20.825,683.0167,ASIANA AIRLINES,REPUBLIC OF KOREA,60.6707,all_flights
ABB,2022-03,153,21,-0.4167,528.2167,AIR BELGIUM SA,BELGIUM,13.7255,all_flights
ABB,2022-06,219,67,4.4167,504.4167,AIR BELGIUM SA,BELGIUM,30.5936,all_flights
ABB,2022-09,176,56,6.3083,529.4667,AIR BELGIUM SA,BELGIUM,31.8182,all_flights
ABB,2022-12,118,50,9.7583,596.475,AIR BELGIUM SA,BELGIUM,42.3729,all_flights
ABD,2022-03,183,44,5.25,476.4833,AIR ATLANTA ICELANDIC,ICELAND,24.0437,all_flights
ABD,2022-06,168,74,11.7833,477.6917,AIR ATLANTA ICELANDIC,ICELAND,44.0476,all_flights
ABD,2022-09,184,65,10.2917,478.825,AIR ATLANTA ICELANDIC,ICELAND,35.3261,all_flights
ABD,2022-12,221,76,10.1667,467.6833,AIR ATLANTA ICELANDIC,ICELAND,34.3891,all_flights
ABY,2022-03,330,79,6.3083,251.05,AIR ARABIA,UNITED ARAB EMIRATES,23.9394,all_flights
ABY,2022-06,447,110,6.1,226.1,AIR ARABIA,UNITED ARAB EMIRATES,24.6085,all_flights
ABY,2022-09,599,184,7.2,244.4333,AIR ARABIA,UNITED ARAB EMIRATES,30.7179,all_flights
ABY,2022-12,729,259,8.8167,254.2833,AIR ARABIA,UNITED ARAB EMIRATES,35.5281,all_flights
ACA,2022-03,1146,661,19.0917,450.95,AIR CANADA,CANADA,57.6789,all_flights
ACA,2022-06,2475,1754,32.85,449.55,AIR CANADA,CANADA,70.8687,all_flights
ACA,2022-09,2625,1692,24.5333,451.3667,AIR CANADA,CANADA,64.4571,all_flights
ACA,2022-12,1692,1217,32.8083,455.725,AIR CANADA,CANADA,71.9267,all_flights
AEA,2022-03,4442,346,0.4167,83.475,AIR EUROPA,SPAIN,7.7893,all_flights
AEA,2022-06,5095,881,4.25,77.2833,AIR EUROPA,SPAIN,17.2915,all_flights
AEA,2022-09,5870,923,3.2667,72.3,AIR EUROPA,SPAIN,15.724,all_flights
AEA,2022-12,5843,860,2.8167,73.3833,AIR EUROPA,SPAIN,14.7185,all_flights
AEE,2022-03,4224,155,-1.7917,84.8083,AEGEAN AIRLINES,GREECE,3.6695,all_flights
