airport_code,arrival_flight_count,arrival_delayed_over_15_count,median_arrival_delay_min,arrival_periods_active,departure_flight_count,departure_delayed_over_15_count,median_departure_delay_min,departure_periods_active,flight_count,delayed_over_15_count,arrival_delay_over_15_pct,departure_delay_over_15_pct,combined_delay_over_15_pct,periods_active,scope_id,scope_label,airport_name,city,country,latitude,longitude,executive_eligible
AFIL,0,0,,0,13,0,0.0,4,13,0,,0.0,0.0,4,all_flights,All scheduled flights,,,,,,False
BGBW,5,2,11.7333,2,5,0,-2.0,2,10,2,40.0,0.0,20.0,2,all_flights,All scheduled flights,Narsarsuaq Airport,Narsarsuaq,Greenland,61.1608,-45.4256,False
BGSF,97,17,4.6333,4,101,62,18.0,4,198,79,17.5258,61.3861,39.899,4,all_flights,All scheduled flights,Kangerlussuaq Airport,Kangerlussuaq,Greenland,67.0169,-50.6894,False
BGTL,4,1,10.6917,4,4,2,15.5,4,8,3,25.0,50.0,37.5,4,all_flights,All scheduled flights,Pituffik Space Base,Pituffik,Greenland,76.5311,-68.703,False
BIAR,4,4,45.8,2,2,1,21.5,2,6,5,100.0,50.0,83.3333,2,all_flights,All scheduled flights,Akureyri Airport,Akureyri,Iceland,65.6567,-18.0719,False
BIEG,1,1,28.5167,1,0,0,,0,1,1,100.0,,100.0,1,all_flights,All scheduled flights,Egilsstaðir Airport,Egilsstaðir,Iceland,65.2833,-14.4014,False
BIKF,5336,1342,7.75,4,5302,1344,7.0,4,10638,2686,25.1499,25.3489,25.2491,4,all_flights,All scheduled flights,Keflavik International Airport,Reykjavík,Iceland,63.985,-22.6056,True
BIRK,5,0,-32.9167,3,8,2,7.5,4,13,2,0.0,25.0,15.3846,4,all_flights,All scheduled flights,Reykjavík Domestic Airport,Reykjavík,Iceland,64.13,-21.9406,False
BKPR,2609,558,5.9667,4,2590,357,2.2583,4,5199,915,21.3875,13.7838,17.5995,4,all_flights,All scheduled flights,Priština Adem Jashari International Airport,Prishtina,Kosovo,42.5742,21.0358,True
CYEG,41,13,7.7333,4,50,43,26.5,4,91,56,31.7073,86.0,61.5385,4,all_flights,All scheduled flights,Edmonton International Airport,Edmonton,Canada,53.31,-113.5794,False
CYHM,174,24,1.9083,4,36,26,28.0,4,210,50,13.7931,72.2222,23.8095,4,all_flights,All scheduled flights,John C. Munro Hamilton International Airport,Hamilton,Canada,43.1736,-79.935,False
CYHZ,236,76,9.2833,3,380,246,22.5,4,616,322,32.2034,64.7368,52.2727,4,all_flights,All scheduled flights,Halifax / Stanfield International Airport,Halifax,Canada,44.8797,-63.5103,True
CYMX,9,2,3.2,2,56,25,10.0,3,65,27,22.2222,44.6429,41.5385,3,all_flights,All scheduled flights,Montreal International (Mirabel) Airport,Montréal,Canada,45.6797,-74.0386,False
CYOW,0,0,,0,1,1,18.0,1,1,1,,100.0,100.0,1,all_flights,All scheduled flights,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,45.3225,-75.6672,False
CYQB,65,22,8.1167,3,65,24,12.0,3,130,46,33.8462,36.9231,35.3846,3,all_flights,All scheduled flights,Quebec Jean Lesage International Airport,Quebec,Canada,46.7911,-71.3933,False
CYQM,0,0,,0,1,0,-73.9,1,1,0,,0.0,0.0,1,all_flights,All scheduled flights,Greater Moncton Roméo LeBlanc International Airport,Moncton,Canada,46.1161,-64.6786,False
CYQX,14,8,29.5417,2,3,3,72.0,2,17,11,57.1429,100.0,64.7059,2,all_flights,All scheduled flights,Gander International Airport / CFB Gander,Gander,Canada,48.9369,-54.5681,False
CYUL,3377,1308,11.2667,4,3379,3063,42.0,4,6756,4371,38.7326,90.6481,64.698,4,all_flights,All scheduled flights,Montreal / Pierre Elliott Trudeau International Airport,Montréal,Canada,45.4706,-73.7408,True
CYVR,875,349,11.3167,4,979,816,28.0,4,1854,1165,39.8857,83.3504,62.8371,4,all_flights,All scheduled flights,Vancouver International Airport,Vancouver,Canada,49.1947,-123.1839,True
