airport_code,period,arrival_flight_count,arrival_delayed_over_15_count,departure_flight_count,departure_delayed_over_15_count,flight_count,arrival_delay_over_15_pct,departure_delay_over_15_pct,combined_delay_over_15_pct,scope_id
BIKF,2022-03,945,158,936,150,1881,16.7196,16.0256,16.3743,all_flights
BIKF,2022-06,1627,483,1619,471,3246,29.6865,29.092,29.39,all_flights
BIKF,2022-09,1564,363,1556,353,3120,23.2097,22.6864,22.9487,all_flights
BIKF,2022-12,1200,338,1191,370,2391,28.1667,31.0663,29.611,all_flights
BKPR,2022-03,559,68,555,40,1114,12.1646,7.2072,9.6948,all_flights
BKPR,2022-06,718,222,716,113,1434,30.9192,15.7821,23.3612,all_flights
BKPR,2022-09,679,132,680,132,1359,19.4404,19.4118,19.426,all_flights
BKPR,2022-12,653,136,639,72,1292,20.827,11.2676,16.0991,all_flights
CYHZ,2022-03,0,0,42,19,42,,45.2381,45.2381,all_flights
CYHZ,2022-06,108,36,166,130,274,33.3333,78.3133,60.5839,all_flights
CYHZ,2022-09,80,29,119,62,199,36.25,52.1008,45.7286,all_flights
CYHZ,2022-12,48,11,53,35,101,22.9167,66.0377,45.5446,all_flights
CYUL,2022-03,475,141,473,372,948,29.6842,78.6469,54.1139,all_flights
CYUL,2022-06,1094,458,1089,1024,2183,41.8647,94.0312,67.8882,all_flights
CYUL,2022-09,1186,450,1191,1084,2377,37.9427,91.016,64.5351,all_flights
CYUL,2022-12,622,259,626,583,1248,41.6399,93.131,67.4679,all_flights
CYVR,2022-03,132,41,175,124,307,31.0606,70.8571,53.7459,all_flights
CYVR,2022-06,316,131,333,306,649,41.4557,91.8919,67.3344,all_flights
CYVR,2022-09,305,111,328,261,633,36.3934,79.5732,58.7678,all_flights
CYVR,2022-12,122,66,143,125,265,54.0984,87.4126,72.0755,all_flights
CYYC,2022-03,77,20,70,44,147,25.974,62.8571,43.5374,all_flights
CYYC,2022-06,168,61,164,144,332,36.3095,87.8049,61.747,all_flights
CYYC,2022-09,189,58,192,116,381,30.6878,60.4167,45.6693,all_flights
CYYC,2022-12,136,51,140,134,276,37.5,95.7143,67.029,all_flights
CYYZ,2022-03,799,281,832,585,1631,35.169,70.3125,53.0963,all_flights
CYYZ,2022-06,1477,578,1458,1338,2935,39.1334,91.7695,65.2811,all_flights
CYYZ,2022-09,1599,526,1582,1343,3181,32.8956,84.8925,58.7551,all_flights
CYYZ,2022-12,994,402,983,886,1977,40.4427,90.1322,65.1492,all_flights
DAAG,2022-03,407,180,459,84,866,44.226,18.3007,30.485,all_flights
DAAG,2022-06,919,444,891,267,1810,48.3134,29.9663,39.2818,all_flights
DAAG,2022-09,1311,420,1298,403,2609,32.0366,31.0478,31.5447,all_flights
DAAG,2022-12,1560,502,1496,337,3056,32.1795,22.5267,27.4542,all_flights
DABC,2022-03,36,22,36,2,72,61.1111,5.5556,33.3333,all_flights
DABC,2022-06,83,28,76,15,159,33.7349,19.7368,27.044,all_flights
DABC,2022-09,124,53,120,27,244,42.7419,22.5,32.7869,all_flights
DABC,2022-12,221,91,216,32,437,41.1765,14.8148,28.1465,all_flights
DAOO,2022-03,57,32,65,9,122,56.1404,13.8462,33.6066,all_flights
DAOO,2022-06,271,106,271,25,542,39.1144,9.2251,24.1697,all_flights
DAOO,2022-09,291,84,282,34,573,28.866,12.0567,20.5934,all_flights
DAOO,2022-12,380,124,369,26,749,32.6316,7.0461,20.0267,all_flights
DFFD,2022-03,64,16,54,12,118,25.0,22.2222,23.7288,all_flights
DFFD,2022-06,72,33,61,28,133,45.8333,45.9016,45.8647,all_flights
DFFD,2022-09,67,19,64,32,131,28.3582,50.0,38.9313,all_flights
DFFD,2022-12,81,20,68,22,149,24.6914,32.3529,28.1879,all_flights
DGAA,2022-03,209,50,202,67,411,23.9234,33.1683,28.4672,all_flights
DGAA,2022-06,205,91,215,61,420,44.3902,28.3721,36.1905,all_flights
DGAA,2022-09,197,54,209,89,406,27.4112,42.5837,35.2217,all_flights
DGAA,2022-12,216,80,214,62,430,37.037,28.972,33.0233,all_flights
DIAP,2022-03,144,38,148,53,292,26.3889,35.8108,31.1644,all_flights
DIAP,2022-06,153,55,170,83,323,35.9477,48.8235,42.7245,all_flights
DIAP,2022-09,152,48,157,79,309,31.5789,50.3185,41.1003,all_flights
DIAP,2022-12,141,62,164,80,305,43.9716,48.7805,46.5574,all_flights
DNAA,2022-03,87,17,84,28,171,19.5402,33.3333,26.3158,all_flights
DNAA,2022-06,82,17,82,28,164,20.7317,34.1463,27.439,all_flights
DNAA,2022-09,82,22,83,37,165,26.8293,44.5783,35.7576,all_flights
DNAA,2022-12,82,32,80,37,162,39.0244,46.25,42.5926,all_flights
DNMM,2022-03,287,73,252,67,539,25.4355,26.5873,25.974,all_flights
DNMM,2022-06,284,76,275,107,559,26.7606,38.9091,32.737,all_flights
DNMM,2022-09,289,69,274,96,563,23.8754,35.0365,29.3073,all_flights
DNMM,2022-12,300,118,281,113,581,39.3333,40.2135,39.759,all_flights
DTMB,2022-03,134,45,129,5,263,33.5821,3.876,19.0114,all_flights
DTMB,2022-06,215,81,208,39,423,37.6744,18.75,28.3688,all_flights
DTMB,2022-09,271,81,268,36,539,29.8893,13.4328,21.7069,all_flights
DTMB,2022-12,166,63,166,9,332,37.9518,5.4217,21.6867,all_flights
DTNH,2022-03,15,4,14,5,29,26.6667,35.7143,31.0345,all_flights
DTNH,2022-06,95,15,98,41,193,15.7895,41.8367,29.0155,all_flights
DTNH,2022-09,102,21,130,35,232,20.5882,26.9231,24.1379,all_flights
DTNH,2022-12,55,2,50,8,105,3.6364,16.0,9.5238,all_flights
DTTA,2022-03,1260,355,1272,162,2532,28.1746,12.7358,20.4186,all_flights
DTTA,2022-06,1463,488,1458,240,2921,33.3561,16.4609,24.923,all_flights
DTTA,2022-09,1575,475,1604,342,3179,30.1587,21.3217,25.6999,all_flights
DTTA,2022-12,1436,458,1425,200,2861,31.8942,14.0351,22.999,all_flights
DTTJ,2022-03,179,38,179,3,358,21.2291,1.676,11.4525,all_flights
DTTJ,2022-06,361,96,360,45,721,26.5928,12.5,19.5562,all_flights
DTTJ,2022-09,408,86,401,46,809,21.0784,11.4713,16.3164,all_flights
DTTJ,2022-12,207,56,210,12,417,27.0531,5.7143,16.307,all_flights
EBAW,2022-03,69,0,69,2,138,0.0,2.8986,1.4493,all_flights
EBAW,2022-06,122,23,124,19,246,18.8525,15.3226,17.0732,all_flights
EBAW,2022-09,77,13,78,15,155,16.8831,19.2308,18.0645,all_flights
EBAW,2022-12,54,0,54,4,108,0.0,7.4074,3.7037,all_flights
EBBR,2022-03,5520,769,5523,209,11043,13.9312,3.7842,8.8563,all_flights
EBBR,2022-06,6803,1984,6790,1407,13593,29.1636,20.7216,24.9467,all_flights
EBBR,2022-09,7537,1777,7585,1245,15122,23.577,16.414,19.9841,all_flights
EBBR,2022-12,6141,1306,6161,798,12302,21.2669,12.9524,17.1029,all_flights
EBCI,2022-03,1988,115,1989,62,3977,5.7847,3.1171,4.4506,all_flights
EBCI,2022-06,2297,595,2294,676,4591,25.9034,29.4682,27.6846,all_flights
EBCI,2022-09,2463,489,2470,541,4933,19.8538,21.9028,20.8798,all_flights
EBCI,2022-12,1963,191,1951,129,3914,9.73,6.612,8.1758,all_flights
EBLG,2022-03,1452,322,1475,98,2927,22.1763,6.6441,14.3492,all_flights
EBLG,2022-06,924,308,950,169,1874,33.3333,17.7895,25.4536,all_flights
EBLG,2022-09,955,273,988,175,1943,28.5864,17.7126,23.0571,all_flights
EBLG,2022-12,882,294,917,146,1799,33.3333,15.9215,24.458,all_flights
EBOS,2022-03,114,18,114,5,228,15.7895,4.386,10.0877,all_flights
EBOS,2022-06,162,32,161,43,323,19.7531,26.7081,23.2198,all_flights
EBOS,2022-09,180,27,176,49,356,15.0,27.8409,21.3483,all_flights
EBOS,2022-12,206,43,206,28,412,20.8738,13.5922,17.233,all_flights
EDDB,2022-03,5304,593,5155,790,10459,11.1802,15.3249,13.2231,all_flights
EDDB,2022-06,6364,2096,6367,2679,12731,32.9353,42.0763,37.5069,all_flights
EDDB,2022-09,6728,2027,6731,3020,13459,30.1278,44.867,37.4991,all_flights
EDDB,2022-12,5367,988,5372,2015,10739,18.4088,37.5093,27.9635,all_flights
EDDC,2022-03,301,6,298,15,599,1.9934,5.0336,3.5058,all_flights
EDDC,2022-06,426,94,427,106,853,22.0657,24.8244,23.4467,all_flights
EDDC,2022-09,432,71,433,96,865,16.4352,22.1709,19.3064,all_flights
EDDC,2022-12,279,25,280,33,559,8.9606,11.7857,10.3757,all_flights
EDDF,2022-03,12772,1161,12732,1857,25504,9.0902,14.5853,11.8334,all_flights
EDDF,2022-06,17103,2743,17073,7516,34176,16.0381,44.0227,30.0181,all_flights
EDDF,2022-09,16224,2137,16202,5812,32426,13.1718,35.8721,24.5143,all_flights
EDDF,2022-12,14556,2153,14518,5473,29074,14.7912,37.698,26.2296,all_flights
EDDG,2022-03,197,4,200,6,397,2.0305,3.0,2.5189,all_flights
EDDG,2022-06,343,92,334,92,677,26.8222,27.5449,27.1787,all_flights
EDDG,2022-09,356,67,350,73,706,18.8202,20.8571,19.83,all_flights
EDDG,2022-12,153,12,155,23,308,7.8431,14.8387,11.3636,all_flights
EDDH,2022-03,3114,143,3020,338,6134,4.5922,11.1921,7.8415,all_flights
EDDH,2022-06,4051,661,4048,1636,8099,16.317,40.415,28.3615,all_flights
EDDH,2022-09,4197,547,4184,1380,8381,13.0331,32.9828,22.9925,all_flights
EDDH,2022-12,3203,287,3200,657,6403,8.9603,20.5312,14.7431,all_flights
EDDK,2022-03,3365,420,3288,72,6653,12.4814,2.1898,7.3952,all_flights
EDDK,2022-06,4460,1572,4414,1211,8874,35.2466,27.4354,31.3613,all_flights
EDDK,2022-09,4525,1312,4505,831,9030,28.9945,18.4462,23.732,all_flights
EDDK,2022-12,3208,662,3183,187,6391,20.6359,5.875,13.2843,all_flights
EDDL,2022-03,4125,309,4077,379,8202,7.4909,9.2961,8.3882,all_flights
EDDL,2022-06,6095,1844,6118,2971,12213,30.2543,48.5616,39.4252,all_flights
EDDL,2022-09,6443,1334,6443,2493,12886,20.7046,38.6932,29.6989,all_flights
EDDL,2022-12,4188,626,4195,901,8383,14.9475,21.4779,18.2154,all_flights
EDDM,2022-03,8487,474,8577,641,17064,5.585,7.4735,6.5342,all_flights
EDDM,2022-06,12250,2175,12265,4470,24515,17.7551,36.4452,27.1059,all_flights
EDDM,2022-09,12666,1756,12674,4188,25340,13.8639,33.044,23.457,all_flights
EDDM,2022-12,10016,1312,9986,3054,20002,13.099,30.5828,21.8278,all_flights
EDDN,2022-03,547,46,551,17,1098,8.4095,3.0853,5.7377,all_flights
