duration_hour,hour_order,flight_count,delay_over_15_pct,delay_over_15_wilson_low,delay_over_15_wilson_high,median_arrival_delay_min,median_delayed_only_min,p90_arrival_delay_min,total_positive_delay_hours
0-1 h,0,348638,9.0633,8.9684,9.159,-0.7,20.85,14.2,26442.7144
1-2 h,1,1002736,13.7217,13.6544,13.7891,1.2,21.8167,18.0333,105376.2419
2-3 h,2,535979,19.2937,19.1882,19.3995,3.65,22.9167,22.4667,75340.6131
3-4 h,3,218838,25.4768,25.2947,25.6598,5.7,23.9167,27.1667,38014.0611
4-5 h,4,115292,25.36,25.1096,25.6119,4.8333,24.7333,28.2167,19886.8278
5-6 h,5,47026,37.5856,37.1489,38.0244,9.9333,26.0167,35.7417,11750.5547
6-7 h,6,55490,45.3253,44.9114,45.7398,12.9,28.1167,43.6333,17438.5711
7-8 h,7,53288,40.0935,39.6781,40.5103,10.65,28.1167,42.2,15450.2847
8-9 h,8,45545,36.8493,36.4074,37.2934,9.3,27.4167,38.8767,11869.3583
9-10 h,9,34060,39.1339,38.6168,39.6534,10.4833,26.8,38.6833,9072.3306
10-11 h,10,30881,35.1478,34.6172,35.6821,9.4,25.7917,34.65,7458.7103
11-12 h,11,24270,33.9514,33.3582,34.5497,8.6667,25.625,34.45,5637.2378
12+ h,12,33751,49.5126,48.9793,50.046,14.75,29.0667,45.0667,11170.6728
