ADEP,ADES,flight_count,periods_active,delayed_over_15_count,mean_arrival_delay_min,median_arrival_delay_min,p90_arrival_delay_min,total_positive_delay_min,median_scheduled_duration_min,origin_latitude,origin_longitude,destination_latitude,destination_longitude,scope_id,scope_label,route,origin_airport_name,origin_city,origin_country,destination_airport_name,destination_city,destination_country,delay_over_15_pct,executive_eligible
BGSF,EKCH,100,4,42,15.8767,11.3417,39.8583,1724.3667,253.7583,67.0169,-50.6894,55.6181,12.6561,all_flights,All scheduled flights,BGSF → EKCH,Kangerlussuaq Airport,Kangerlussuaq,Greenland,Copenhagen Kastrup Airport,Copenhagen,Denmark,42.0,False
BIKF,EBBR,87,3,34,12.7902,10.35,35.0967,1223.7333,176.7667,63.985,-22.6056,50.9014,4.4844,all_flights,All scheduled flights,BIKF → EBBR,Keflavik International Airport,Reykjavík,Iceland,Brussels Airport,Zaventem,Belgium,39.0805,False
BIKF,EBLG,134,4,17,-9.1706,-7.325,15.495,607.25,190.975,63.985,-22.6056,50.6364,5.4428,all_flights,All scheduled flights,BIKF → EBLG,Keflavik International Airport,Reykjavík,Iceland,Liège Airport,Grâce-Hollogne,Belgium,12.6866,False
BIKF,EDDB,186,4,83,14.9853,12.225,40.425,3149.9333,192.8667,63.985,-22.6056,52.3622,13.5006,all_flights,All scheduled flights,BIKF → EDDB,Keflavik International Airport,Reykjavík,Iceland,Berlin Brandenburg Airport,Berlin,Germany,44.6237,False
BIKF,EDDF,226,4,25,1.4805,0.1083,15.975,1154.2167,204.4583,63.985,-22.6056,50.0333,8.5706,all_flights,All scheduled flights,BIKF → EDDF,Keflavik International Airport,Reykjavík,Iceland,Frankfurt Airport,Frankfurt am Main,Germany,11.0619,False
BIKF,EDDH,35,2,11,5.5467,4.8667,20.8567,327.2,179.8833,63.985,-22.6056,53.6303,9.9883,all_flights,All scheduled flights,BIKF → EDDH,Keflavik International Airport,Reykjavík,Iceland,Hamburg Helmut Schmidt Airport,Hamburg,Germany,31.4286,False
BIKF,EDDL,25,3,6,9.186,4.6667,28.33,238.1833,192.2167,63.985,-22.6056,51.2808,6.7572,all_flights,All scheduled flights,BIKF → EDDL,Keflavik International Airport,Reykjavík,Iceland,Düsseldorf Airport,Düsseldorf,Germany,24.0,False
BIKF,EDDM,143,4,42,11.0844,8.7167,29.3633,1689.2333,215.4,63.985,-22.6056,48.3539,11.7861,all_flights,All scheduled flights,BIKF → EDDM,Keflavik International Airport,Reykjavík,Iceland,Munich Airport,Munich,Germany,29.3706,False
BIKF,EFHK,118,4,38,11.8915,10.2083,30.875,1522.9333,190.6417,63.985,-22.6056,60.3172,24.9633,all_flights,All scheduled flights,BIKF → EFHK,Keflavik International Airport,Reykjavík,Iceland,Helsinki Vantaa Airport,Helsinki (Vantaa),Finland,32.2034,False
BIKF,EGCC,190,4,79,14.3142,12.4417,29.235,2807.7,139.6583,63.985,-22.6056,53.3539,-2.275,all_flights,All scheduled flights,BIKF → EGCC,Keflavik International Airport,Reykjavík,Iceland,Manchester Airport,"Manchester, Greater Manchester",United Kingdom,41.5789,False
BIKF,EGGD,28,2,7,7.8268,7.65,24.37,288.65,156.3667,63.985,-22.6056,51.3828,-2.7192,all_flights,All scheduled flights,BIKF → EGGD,Keflavik International Airport,Reykjavík,Iceland,Bristol Airport,Bristol,United Kingdom,25.0,False
BIKF,EGGW,154,4,36,6.9027,4.925,25.5367,1364.0833,161.7333,63.985,-22.6056,51.8747,-0.3683,all_flights,All scheduled flights,BIKF → EGGW,Keflavik International Airport,Reykjavík,Iceland,London Luton Airport,"Luton, Bedfordshire",United Kingdom,23.3766,False
BIKF,EGKK,177,4,86,18.4038,13.5,42.4533,3387.0,165.0667,63.985,-22.6056,51.1481,-0.1903,all_flights,All scheduled flights,BIKF → EGKK,Keflavik International Airport,Reykjavík,Iceland,London Gatwick Airport,London,United Kingdom,48.5876,False
BIKF,EGLL,311,4,171,21.7252,16.8167,44.8167,6797.9167,158.1,63.985,-22.6056,51.4775,-0.4614,all_flights,All scheduled flights,BIKF → EGLL,Keflavik International Airport,Reykjavík,Iceland,London Heathrow Airport,London,United Kingdom,54.9839,False
BIKF,EGNX,87,4,14,6.6079,5.4,17.4,639.5,148.4333,63.985,-22.6056,52.8311,-1.3278,all_flights,All scheduled flights,BIKF → EGNX,Keflavik International Airport,Reykjavík,Iceland,East Midlands Airport,Nottingham,United Kingdom,16.092,False
BIKF,EGPF,69,4,23,12.3478,9.3167,31.1067,896.7667,120.0,63.985,-22.6056,55.8719,-4.4331,all_flights,All scheduled flights,BIKF → EGPF,Keflavik International Airport,Reykjavík,Iceland,Glasgow Airport,Glasgow,United Kingdom,33.3333,False
