ADEP,ADES,period,flight_count,delayed_over_15_count,median_arrival_delay_min,scope_id,route,delay_over_15_pct
BIKF,EKCH,2022-03,94,18,2.1667,all_flights,BIKF → EKCH,19.1489
BIKF,EKCH,2022-06,171,58,8.8833,all_flights,BIKF → EKCH,33.9181
BIKF,EKCH,2022-09,140,32,3.0833,all_flights,BIKF → EKCH,22.8571
BIKF,EKCH,2022-12,101,24,5.7833,all_flights,BIKF → EKCH,23.7624
CYUL,LFPG,2022-03,120,92,25.2167,all_flights,CYUL → LFPG,76.6667
CYUL,LFPG,2022-06,182,172,52.3083,all_flights,CYUL → LFPG,94.5055
CYUL,LFPG,2022-09,189,152,39.15,all_flights,CYUL → LFPG,80.4233
CYUL,LFPG,2022-12,156,147,42.5667,all_flights,CYUL → LFPG,94.2308
CYYZ,EGLL,2022-03,108,104,37.275,all_flights,CYYZ → EGLL,96.2963
CYYZ,EGLL,2022-06,131,128,67.3,all_flights,CYYZ → EGLL,97.7099
CYYZ,EGLL,2022-09,129,128,43.4,all_flights,CYYZ → EGLL,99.2248
CYYZ,EGLL,2022-12,153,153,65.0167,all_flights,CYYZ → EGLL,100.0
DAAG,LFPG,2022-03,82,15,5.875,all_flights,DAAG → LFPG,18.2927
DAAG,LFPG,2022-06,172,55,6.9917,all_flights,DAAG → LFPG,31.9767
DAAG,LFPG,2022-09,309,102,9.55,all_flights,DAAG → LFPG,33.0097
DAAG,LFPG,2022-12,312,67,6.25,all_flights,DAAG → LFPG,21.4744
DAAG,LFPO,2022-03,56,12,7.725,all_flights,DAAG → LFPO,21.4286
DAAG,LFPO,2022-06,153,50,8.7167,all_flights,DAAG → LFPO,32.6797
DAAG,LFPO,2022-09,168,62,10.6083,all_flights,DAAG → LFPO,36.9048
DAAG,LFPO,2022-12,251,53,6.9333,all_flights,DAAG → LFPO,21.1155
DTTA,LFPG,2022-03,132,26,8.6,all_flights,DTTA → LFPG,19.697
DTTA,LFPG,2022-06,183,53,8.75,all_flights,DTTA → LFPG,28.9617
DTTA,LFPG,2022-09,164,63,11.9167,all_flights,DTTA → LFPG,38.4146
DTTA,LFPG,2022-12,136,48,10.1333,all_flights,DTTA → LFPG,35.2941
DTTA,LFPO,2022-03,169,54,9.55,all_flights,DTTA → LFPO,31.9527
DTTA,LFPO,2022-06,154,62,12.1083,all_flights,DTTA → LFPO,40.2597
DTTA,LFPO,2022-09,189,69,11.7,all_flights,DTTA → LFPO,36.5079
DTTA,LFPO,2022-12,173,50,9.6167,all_flights,DTTA → LFPO,28.9017
DTTA,LTFM,2022-03,140,24,5.575,all_flights,DTTA → LTFM,17.1429
DTTA,LTFM,2022-06,149,18,4.95,all_flights,DTTA → LTFM,12.0805
DTTA,LTFM,2022-09,157,22,1.5833,all_flights,DTTA → LTFM,14.0127
DTTA,LTFM,2022-12,141,11,0.3833,all_flights,DTTA → LTFM,7.8014
EBBR,EDDF,2022-03,170,2,-11.4333,all_flights,EBBR → EDDF,1.1765
EBBR,EDDF,2022-06,173,3,-11.0,all_flights,EBBR → EDDF,1.7341
EBBR,EDDF,2022-09,193,0,-12.7,all_flights,EBBR → EDDF,0.0
EBBR,EDDF,2022-12,145,2,-11.0333,all_flights,EBBR → EDDF,1.3793
EBBR,EDDM,2022-03,138,1,-3.6833,all_flights,EBBR → EDDM,0.7246
EBBR,EDDM,2022-06,171,11,-1.2667,all_flights,EBBR → EDDM,6.4327
EBBR,EDDM,2022-09,189,9,1.0,all_flights,EBBR → EDDM,4.7619
EBBR,EDDM,2022-12,176,6,-1.7333,all_flights,EBBR → EDDM,3.4091
EBBR,EDDP,2022-03,135,1,-10.7333,all_flights,EBBR → EDDP,0.7407
EBBR,EDDP,2022-06,152,9,-3.7417,all_flights,EBBR → EDDP,5.9211
EBBR,EDDP,2022-09,140,1,-5.7,all_flights,EBBR → EDDP,0.7143
EBBR,EDDP,2022-12,146,9,-4.825,all_flights,EBBR → EDDP,6.1644
EBBR,EGLL,2022-03,158,15,6.075,all_flights,EBBR → EGLL,9.4937
EBBR,EGLL,2022-06,192,39,8.6,all_flights,EBBR → EGLL,20.3125
EBBR,EGLL,2022-09,155,29,8.15,all_flights,EBBR → EGLL,18.7097
EBBR,EGLL,2022-12,213,60,8.6167,all_flights,EBBR → EGLL,28.169
EBBR,EIDW,2022-03,131,5,-1.8,all_flights,EBBR → EIDW,3.8168
EBBR,EIDW,2022-06,127,11,3.4,all_flights,EBBR → EIDW,8.6614
EBBR,EIDW,2022-09,133,5,0.5667,all_flights,EBBR → EIDW,3.7594
EBBR,EIDW,2022-12,129,14,0.2833,all_flights,EBBR → EIDW,10.8527
EBBR,EKCH,2022-03,131,0,-3.1667,all_flights,EBBR → EKCH,0.0
EBBR,EKCH,2022-06,156,6,-2.0083,all_flights,EBBR → EKCH,3.8462
EBBR,EKCH,2022-09,181,5,-1.2667,all_flights,EBBR → EKCH,2.7624
EBBR,EKCH,2022-12,153,4,-8.2667,all_flights,EBBR → EKCH,2.6144
EBBR,LEBL,2022-03,172,3,1.2417,all_flights,EBBR → LEBL,1.7442
EBBR,LEBL,2022-06,212,42,6.0667,all_flights,EBBR → LEBL,19.8113
EBBR,LEBL,2022-09,221,38,4.7167,all_flights,EBBR → LEBL,17.1946
EBBR,LEBL,2022-12,164,11,1.0,all_flights,EBBR → LEBL,6.7073
EBBR,LEMD,2022-03,247,6,0.4667,all_flights,EBBR → LEMD,2.4291
EBBR,LEMD,2022-06,270,53,2.6167,all_flights,EBBR → LEMD,19.6296
EBBR,LEMD,2022-09,281,40,1.4833,all_flights,EBBR → LEMD,14.2349
EBBR,LEMD,2022-12,279,21,1.45,all_flights,EBBR → LEMD,7.5269
EBBR,LIML,2022-03,118,1,-1.9417,all_flights,EBBR → LIML,0.8475
EBBR,LIML,2022-06,142,24,2.8333,all_flights,EBBR → LIML,16.9014
EBBR,LIML,2022-09,155,13,2.1167,all_flights,EBBR → LIML,8.3871
EBBR,LIML,2022-12,139,11,0.4333,all_flights,EBBR → LIML,7.9137
EBBR,LIRF,2022-03,156,2,-8.1917,all_flights,EBBR → LIRF,1.2821
EBBR,LIRF,2022-06,176,25,-0.3917,all_flights,EBBR → LIRF,14.2045
EBBR,LIRF,2022-09,200,14,-7.1333,all_flights,EBBR → LIRF,7.0
EBBR,LIRF,2022-12,146,0,-8.8583,all_flights,EBBR → LIRF,0.0
EBBR,LOWW,2022-03,123,7,3.3333,all_flights,EBBR → LOWW,5.6911
EBBR,LOWW,2022-06,177,51,8.75,all_flights,EBBR → LOWW,28.8136
EBBR,LOWW,2022-09,213,33,6.0833,all_flights,EBBR → LOWW,15.493
EBBR,LOWW,2022-12,180,31,3.8667,all_flights,EBBR → LOWW,17.2222
EBBR,LPPT,2022-03,148,22,4.2,all_flights,EBBR → LPPT,14.8649
EBBR,LPPT,2022-06,180,53,9.0583,all_flights,EBBR → LPPT,29.4444
EBBR,LPPT,2022-09,194,49,7.5917,all_flights,EBBR → LPPT,25.2577
EBBR,LPPT,2022-12,137,52,10.4,all_flights,EBBR → LPPT,37.9562
EBBR,LSGG,2022-03,194,2,-11.3917,all_flights,EBBR → LSGG,1.0309
EBBR,LSGG,2022-06,131,8,-7.7,all_flights,EBBR → LSGG,6.1069
EBBR,LSGG,2022-09,172,8,-8.775,all_flights,EBBR → LSGG,4.6512
EBBR,LSGG,2022-12,186,5,-9.7917,all_flights,EBBR → LSGG,2.6882
EDDB,EDDF,2022-03,272,1,-6.9833,all_flights,EDDB → EDDF,0.3676
EDDB,EDDF,2022-06,348,19,-6.25,all_flights,EDDB → EDDF,5.4598
EDDB,EDDF,2022-09,382,11,-5.0083,all_flights,EDDB → EDDF,2.8796
EDDB,EDDF,2022-12,287,59,0.9167,all_flights,EDDB → EDDF,20.5575
EDDB,EDDK,2022-03,184,14,3.7917,all_flights,EDDB → EDDK,7.6087
EDDB,EDDK,2022-06,144,30,7.8333,all_flights,EDDB → EDDK,20.8333
EDDB,EDDK,2022-09,146,42,8.4167,all_flights,EDDB → EDDK,28.7671
EDDB,EDDK,2022-12,112,41,11.5083,all_flights,EDDB → EDDK,36.6071
EDDB,EDDM,2022-03,217,0,-8.0333,all_flights,EDDB → EDDM,0.0
EDDB,EDDM,2022-06,268,13,-4.1917,all_flights,EDDB → EDDM,4.8507
EDDB,EDDM,2022-09,253,11,-3.5667,all_flights,EDDB → EDDM,4.3478
EDDB,EDDM,2022-12,248,21,-4.8667,all_flights,EDDB → EDDM,8.4677
EDDB,EDDS,2022-03,144,10,-0.6167,all_flights,EDDB → EDDS,6.9444
EDDB,EDDS,2022-06,121,20,2.85,all_flights,EDDB → EDDS,16.5289
EDDB,EDDS,2022-09,153,31,4.3667,all_flights,EDDB → EDDS,20.2614
EDDB,EDDS,2022-12,116,15,1.7167,all_flights,EDDB → EDDS,12.931
EDDB,EHAM,2022-03,215,38,8.7833,all_flights,EDDB → EHAM,17.6744
EDDB,EHAM,2022-06,221,67,11.1167,all_flights,EDDB → EHAM,30.3167
EDDB,EHAM,2022-09,260,85,10.2333,all_flights,EDDB → EHAM,32.6923
EDDB,EHAM,2022-12,225,74,11.2167,all_flights,EDDB → EHAM,32.8889
EDDB,LEPA,2022-03,145,26,6.4833,all_flights,EDDB → LEPA,17.931
EDDB,LEPA,2022-06,278,77,7.9417,all_flights,EDDB → LEPA,27.6978
EDDB,LEPA,2022-09,258,76,8.2583,all_flights,EDDB → LEPA,29.4574
EDDB,LEPA,2022-12,84,26,7.05,all_flights,EDDB → LEPA,30.9524
EDDB,LFPG,2022-03,218,33,7.8417,all_flights,EDDB → LFPG,15.1376
EDDB,LFPG,2022-06,242,72,9.85,all_flights,EDDB → LFPG,29.7521
EDDB,LFPG,2022-09,228,82,11.4417,all_flights,EDDB → LFPG,35.9649
